1,Santa Cruz de la Sierra,Santa Cruz,1441406
2,El Alto,La Paz,842378
3,La Paz,La Paz,757184
4,Cochabamba,Cochabamba,630587
5,Oruro,Oruro,264683
6,Sucre,Chuquisaca,237480
7,Tarija,Tarija,179528
8,Potosí,Potosí,174973
9,Sacaba,Cochabamba,149570
10,Quillacollo,Cochabamba,117859
11,Montero,Santa Cruz,107294
12,Trinidad,Beni,101454
13,Riberalta,Beni,78754
14,Warnes,Santa Cruz,77668
15,La Guardia,Santa Cruz,77278
16,Viacha,La Paz,62516
17,Yacuíba,Tarija,61844
18,Colcapirhua,Cochabamba,51896
19,Tiquipaya,Cochabamba,49237
20,Cobija,Pando,42849
21,Vinto,Cochabamba,40920
22,Guayaramerín,Beni,35764
23,Villazón,Potosí,35167
24,Yapacaní[A],Santa Cruz,32017
25,Villamontes,Tarija,30228
26,Bermejo,Tarija,29459
27,Camiri,Santa Cruz,28855
28,Tupiza,Potosí,27302
29,Llallagua,Potosí,25166
30,San Ignacio de Velasco,Santa Cruz,23126
31,San Julián,Santa Cruz,20687
32,Huanuni,Oruro,20336
33,Punata,Cochabamba,19559
34,Cotoca,Santa Cruz,19482
35,Ascención de Guarayos,Santa Cruz,19254
36,Achocalla,La Paz,18442
37,Mineros,Santa Cruz,18340
38,Uyuni,Potosí,18068
39,San Borja,Beni,17520
40,El Torno,Santa Cruz,17130
41,Puerto Suárez,Santa Cruz,16643
42,Portachuelo,Santa Cruz,14091
43,Caranavi,La Paz,13766
44,Rurrenabaque,Beni,13446
45,Challapata,Oruro,12684
46,Santa Ana del Yacuma,Beni,12178
47,San José de Chiquitos,Santa Cruz,11874
48,Sipe Sipe,Cochabamba,11826
49,Patacamaya,La Paz,11197
50,Puerto Quijarro,Santa Cruz,11071
51,Vallegrande,Santa Cruz,10158
52,Roboré,Santa Cruz,10098
53,San Ignacio de Moxos,Beni,10054
